household_ID,have_backup_generator,generate_electicity_using_solar_energy,generate_electicity_using_bio_energy,generate_electicity_using_mini_hydropower,generate_electicity_using_wind_power,generate_electicity_using_other_methods,solar_system_ongrid_or_offgird,solar_system_invertor_or_noninvertor,solar_energy_used_for_water_heating,solar_energy_used_for_cooking,solar_energy_used_for_outdoor_lighting,solar_energy_used_for_car_charging,solar_energy_used_for_agricultural_systems,solar_energy_used_for_all_above,solar_energy_used_for_other_purposes,aware_of_no_of_units_generated_by_solar_system,no_of_units_generated_by_solar_system,when_was_solar_system_installed,have_system_to_store_backup_energy,method_of_receiving_water,water_heating_method_for_bathing,does_water_heating_equipment_serve_other_housing_units,household_members_used_hot_water_last_week,boil_water_before_drinking,source_of_energy_for_boiling_drinking_water,no_of_times_food_cooked_last_week,gas_used_for_cooking,electricity_from_national_grid_used_for_cooking,electricity_generated_using_solar_energy_used_for_cooking,firewood_used_for_cooking,kerosene_used_for_cooking,sawdust_or_paddy_husk_used_for_cooking,biogas_used_for_cooking,coconut_shells_or_charcoal_used_for_cooking,other_methods_used_for_cooking
ID0391,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0392,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,No,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0393,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0394,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0395,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,No,No,,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0396,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0397,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,No,No,No,Yes,No,No,No,No,No
ID0398,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,Yes,No,No,No,No,No,No,No,No
ID0399,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,No,,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0400,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0401,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0402,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0403,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,Yes,No,No,No,No,No,No,No,No
ID0404,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0405,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0406,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0407,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0408,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0409,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,15 - 21 times,Yes,Yes,No,Yes,No,No,No,No,No
ID0410,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),Did not cook at home last week,No,No,No,Yes,No,No,No,No,No
ID0411,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0412,No,No,No,No,No,No,,,,,,,,,,,,,No,Other,"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,No,No,No,No,No,No,No,No,Yes
ID0413,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0414,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0415,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (Community-based water supply and management organization),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0416,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,Yes,Electricity (directly from the national grid),More than 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0417,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0418,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,220.0,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0419,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0420,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0421,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered both by solar and the grid supply.,No,Yes,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0422,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0423,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0424,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0425,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0426,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,No,,1-7 times,No,No,No,Yes,No,No,No,No,No
ID0427,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0428,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0429,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,Yes,No,No,Yes,No,No,No,No,No
ID0430,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Gas,Did not cook at home last week,No,No,No,No,No,No,No,No,Yes
ID0431,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (Community-based water supply and management organization),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Firewood,1-7 times,No,No,No,Yes,No,No,No,No,No
ID0432,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0433,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0434,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Firewood,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0435,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0436,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use heated water through an electric kettle/heater.",,Yes,No,,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0437,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0438,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,Yes,No,No,No,No,No
ID0439,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,Yes,No,Yes,No,No,No,No,No
ID0440,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0441,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0442,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,No,No,No,Yes,No,No,No,No,No
ID0443,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Gas,8 - 14 times,Yes,No,Yes,No,No,No,No,No,No
ID0444,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,450.0,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,Yes,Yes,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0445,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,No,Protected well,We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Gas,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0446,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0447,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0448,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,15 - 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0449,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,Yes,No,No,No,No,No,No,No,No
ID0450,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0451,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,No,Yes,No,Yes,No,No,No,No,No
ID0452,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0453,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,90.0,Before November 2022,Yes,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use heated water through an electric kettle/heater.",,Yes,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0454,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0455,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0456,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,No,,1-7 times,Yes,No,No,Yes,No,No,No,No,No
ID0457,Yes,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0458,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,Yes,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0459,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0460,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,No,No,No,Yes,No,No,No,No,No
ID0461,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0462,No,No,Yes,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,No,No,No,Yes,No,No,No,No,No
ID0463,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,1-7 times,Yes,No,No,Yes,No,No,No,No,No
ID0464,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0465,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Firewood,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0466,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,Yes,No,Yes,No,No,No,No,No
ID0467,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0468,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0469,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,Yes,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0470,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,Yes,Yes,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0471,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,We have an in-built water heating system powered solely by solar energy.,No,Yes,Yes,Electricity (directly from the national grid),1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0472,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,Yes,Yes,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0473,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0474,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Firewood,More than 21 times,Yes,No,No,Yes,Yes,No,No,No,No
ID0475,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,No,Yes,Gas,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0476,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0477,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0478,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,Yes,No,No,No,No,No
ID0479,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0480,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0481,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,1-7 times,Yes,No,No,Yes,No,No,No,No,No
ID0482,No,No,No,No,No,No,,,,,,,,,,,,,No,Other,"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,No,No,No,No,No,No,No,No,Yes
ID0483,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0484,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,Yes,No,No,No,No,No
ID0485,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,15 - 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0486,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0487,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,275.0,After November 2022,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered both by solar and the grid supply.,No,No,Yes,Electricity (directly from the national grid),15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0488,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0489,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0490,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0491,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0492,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0493,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0494,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,15 - 21 times,No,No,No,Yes,No,No,No,No,No
ID0495,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0496,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0497,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0498,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0499,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Firewood,15 - 21 times,No,No,No,Yes,No,No,No,No,No
ID0500,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Firewood,1-7 times,No,No,No,Yes,No,No,No,No,No
ID0501,Yes,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0502,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
