household_ID,room_ID,main_purpose_of_the_room,storey_which_the_room_located,main_material_used_for_the_roof_of_the_room,type_of_ceiling_of_the_room,main_material_used_for_the_floor_of_the_room,no_of_doors_opened_to_external_environment,no_of_windows,main_material_used_for_window_panes,have_curtains_or_blinds_for_windows,have_extra_ventilation_openings,no_of_bulbs_in_the_room,no_of_bulbs_used_during_last_week,no_of_fans_in_the_room,no_of_ACs_in_the_room
ID1291,I4      ,Kitchen and/ or pantry,0.0,Tile,"No ceiling, just the roof above",Concrete,0.0,1.0,Wood,No,No,1.0,,0.0,0.0
ID1291,I5      ,Bathroom and / or toilets,0.0,Tile,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1291,I6      ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1292,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Concrete,2.0,5.0,Glass,Yes,Yes,2.0,,1.0,0.0
ID1292,I2      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Concrete,2.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1292,I3      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Concrete,1.0,0.0,,,Yes,1.0,,1.0,0.0
ID1292,I4      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1292,I5      ,Kitchen and/ or pantry,1.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,1.0,"None, it's open",No,Yes,2.0,,0.0,0.0
ID1292,I6      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, the concrete slab",Concrete,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1292,I7      ,Gaming room,1.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,0.0,,,No,1.0,,0.0,0.0
ID1292,I8      ,Gaming room,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,0.0,,,No,0.0,,0.0,0.0
ID1292,I9      ,Gaming room,1.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,0.0,,,No,0.0,,0.0,0.0
ID1292,I10     ,Gaming room,1.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,0.0,,,No,0.0,,0.0,0.0
ID1293,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,2.0,Wood,No,No,2.0,,1.0,0.0
ID1293,I2      ,Bedrooms,1.0,Asbestos,A conventional ceiling,Cement,0.0,3.0,Wood,No,No,1.0,,1.0,0.0
ID1293,I3      ,Kitchen and/ or pantry,1.0,Asbestos,A conventional ceiling,Cement,0.0,1.0,Glass,No,No,2.0,,0.0,0.0
ID1293,I4      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, just the roof above",Tile,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1293,I5      ,Gaming room,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID1294,I1      ,Living room,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,1.0,0.0,,,Yes,2.0,,0.0,0.0
ID1294,I2      ,Bedrooms,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,0.0,0.0,,,Yes,1.0,,1.0,0.0
ID1294,I3      ,Bedrooms,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,0.0,0.0,,,Yes,1.0,,1.0,0.0
ID1294,I4      ,Bedrooms,0.0,Metal Sheet,"No ceiling, just the roof above",Concrete,1.0,0.0,,,No,2.0,,0.0,0.0
ID1294,I5      ,Kitchen and/ or pantry,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1294,I6      ,Bathroom and / or toilets,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID1294,I7      ,Passage,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,1.0,0.0
ID1294,I8      ,Veranda,,,,,,,,,,,,,
ID1294,I9      ,Veranda,,,,,,,,,,,,,
ID1294,I10     ,Veranda,,,,,,,,,,,,,
ID1295,I1      ,Living room,0.0,Asbestos,A hanging ceiling,Tile,1.0,4.0,Glass,Yes,Yes,4.0,,0.0,0.0
ID1295,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1295,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1295,I4      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1295,I5      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID1295,I6      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID1295,I7      ,Storage room,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,2.0,,0.0,0.0
ID1295,I8      ,Gaming room,0.0,Asbestos,A hanging ceiling,Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1295,I9      ,Veranda,,,,,,,,,,,,,
ID1295,I10     ,Veranda,,,,,,,,,,,,,
ID1296,I1      ,Living room,0.0,Concrete,A polythene cover as a ceiling,Tile,1.0,0.0,,,Yes,5.0,,2.0,0.0
ID1296,I2      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,5.0,Wood,Yes,Yes,2.0,,1.0,0.0
ID1296,I3      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,3.0,Wood,Yes,Yes,2.0,,0.0,0.0
ID1296,I4      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1296,I5      ,Gaming room,0.0,Asbestos,"No ceiling, just the roof above",Tile,0.0,0.0,,,No,0.0,,0.0,0.0
ID1296,I6      ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID1296,I7      ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Cement,0.0,0.0,,,No,2.0,,0.0,0.0
ID1296,I8      ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,3.0,,0.0,0.0
ID1296,IOth1  ,Passage,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,2.0,,0.0,0.0
ID1297,I1      ,Living room,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,2.0,,1.0,0.0
ID1297,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,2.0,Wood,Yes,No,1.0,,0.0,0.0
ID1297,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,1.0,Wood,Yes,No,1.0,,0.0,0.0
ID1297,I4      ,Kitchen and/ or pantry,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID1297,I5      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID1297,I6      ,Bathroom and / or toilets,0.0,Other,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID1297,I7      ,Veranda,,,,,,,,,,,,,
ID1297,I8      ,Veranda,,,,,,,,,,,,,
ID1297,I9      ,Veranda,,,,,,,,,,,,,
ID1297,I10     ,Veranda,,,,,,,,,,,,,
ID1298,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1298,I2      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,1.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1298,I3      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1298,I4      ,Kitchen and/ or pantry,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1298,I5      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1299,I1      ,Living room,0.0,Concrete,"No ceiling, just the roof above",Tile,1.0,3.0,Wood,Yes,Yes,2.0,,1.0,0.0
ID1299,I2      ,Bedrooms,0.0,Concrete,"No ceiling, just the roof above",Tile,0.0,1.0,Wood,Yes,Yes,2.0,,1.0,0.0
ID1299,I3      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Tile,1.0,2.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID1299,I4      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, just the roof above",Tile,0.0,0.0,,,Yes,2.0,,0.0,0.0
ID1299,I5      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, just the roof above",Tile,1.0,1.0,Wood,No,Yes,1.0,,0.0,0.0
ID1299,I6      ,Storage room,0.0,Concrete,"No ceiling, just the roof above",Cement,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1299,I7      ,Gaming room,0.0,Concrete,Wooden ceiling,Tile,0.0,0.0,,,No,2.0,,0.0,0.0
ID1299,I8      ,Passage,0.0,Takaran,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,0.0,,0.0,0.0
ID1300,I1      ,Living room,0.0,Tile,"No ceiling, just the roof above",Concrete,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1300,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID1300,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID1300,I4      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Concrete,1.0,1.0,"None, it's open",No,No,0.0,,0.0,0.0
ID1300,I5      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Concrete,1.0,1.0,Wood,Yes,No,1.0,,0.0,0.0
ID1300,I6      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,0.0,,,No,1.0,,0.0,0.0
ID1300,I7      ,Gaming room,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,No,1.0,,0.0,0.0
ID1300,I8      ,Passage,0.0,Tile,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1300,I9      ,Veranda,,,,,,,,,,,,,
ID1300,I10     ,Veranda,,,,,,,,,,,,,
ID1301,I1      ,Living room,0.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1301,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1301,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1301,I4      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1301,I5      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,2.0,Glass,No,No,1.0,,0.0,0.0
ID1301,I6      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID1301,I7      ,Veranda,,,,,,,,,,,,,
ID1301,I8      ,Veranda,,,,,,,,,,,,,
ID1301,I9      ,Veranda,,,,,,,,,,,,,
ID1301,I10     ,Veranda,,,,,,,,,,,,,
ID1302,I1      ,Living room,0.0,Tile,A hanging ceiling,Cement,0.0,3.0,Glass,Yes,Yes,4.0,,0.0,0.0
ID1302,I2      ,Bedrooms,0.0,Tile,A hanging ceiling,Cement,0.0,1.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1302,I3      ,Bedrooms,0.0,Tile,A hanging ceiling,Cement,0.0,1.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1302,I4      ,Bedrooms,0.0,Tile,"No ceiling, just the roof above",Cement,0.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1302,I5      ,Kitchen and/ or pantry,0.0,Tile,"No ceiling, just the roof above",Cement,0.0,1.0,Glass,Yes,Yes,2.0,,0.0,0.0
ID1302,I6      ,Kitchen and/ or pantry,0.0,Tile,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1302,I7      ,Bathroom and / or toilets,0.0,Tile,"No ceiling, just the roof above",Tile,0.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID1302,I8      ,Gaming room,0.0,Tile,A hanging ceiling,Cement,0.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID1302,I9      ,Servant's Room,0.0,Metal Sheet,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1302,I10     ,Veranda,,,,,,,,,,,,,
ID1302,IOth1  ,Other rooms outside the house,0.0,Tile,"No ceiling, just the roof above",Cement,0.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID1303,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,1.0,0.0
ID1303,I2      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,1.0,0.0
ID1303,I3      ,Kitchen and/ or pantry,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1303,I4      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1303,IOth1  ,Passage,1.0,Asbestos,"No ceiling, just the roof above",Sand,0.0,0.0,,,No,1.0,,0.0,0.0
ID1304,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,1.0,Glass,No,No,2.0,,1.0,0.0
ID1304,I2      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1304,I3      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,0.0,,1.0,0.0
ID1304,I4      ,Kitchen and/ or pantry,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1304,I5      ,Bathroom and / or toilets,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1305,I1      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,10.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1305,I2      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1305,I3      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,4.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1305,I4      ,Bedrooms,1.0,Plastic sheets,Wooden ceiling,Tile,1.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1305,I5      ,Bedrooms,1.0,Plastic sheets,Wooden ceiling,Tile,1.0,4.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1305,I6      ,Bedrooms,1.0,Plastic sheets,Wooden ceiling,Tile,1.0,8.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1305,I7      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1305,I8      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID1305,I9      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID1305,I10     ,Storage room,1.0,Concrete,"No ceiling, the concrete slab",Cement,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID1305,I11     ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,0.0,,0.0,0.0
ID1305,I12     ,Servant's Room,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID1305,I13     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID1306,I1      ,Living room,1.0,Concrete,"No ceiling, the concrete slab",Tile,2.0,5.0,Glass,Yes,Yes,6.0,,1.0,0.0
ID1306,I2      ,Bedrooms,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,5.0,Glass,Yes,Yes,4.0,,1.0,0.0
ID1306,I3      ,Bedrooms,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,5.0,Glass,Yes,Yes,4.0,,1.0,0.0
ID1306,I4      ,Bedrooms,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,5.0,Glass,Yes,Yes,4.0,,1.0,0.0
ID1306,I5      ,Kitchen and/ or pantry,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1306,I6      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID1306,I7      ,Gaming room,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,4.0,,0.0,0.0
ID1306,I8      ,Veranda,,,,,,,,,,,,,
ID1306,I9      ,Veranda,,,,,,,,,,,,,
ID1306,I10     ,Veranda,,,,,,,,,,,,,
ID1307,I1      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,3.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID1307,I2      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,1.0,Wood,Yes,Yes,1.0,,1.0,1.0
ID1307,I3      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Wood (finished),0.0,1.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID1307,I4      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Wood,Yes,Yes,1.0,,0.0,0.0
ID1307,I5      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Cement,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1308,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,3.0,Glass,No,Yes,3.0,,0.0,0.0
ID1308,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID1308,I3      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1308,I4      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID1309,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1309,I2      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1309,I3      ,Kitchen and/ or pantry,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,1.0,Wood,No,No,1.0,,0.0,0.0
ID1309,I4      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,0.0,,0.0,0.0
ID1310,I1      ,Living room,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1310,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,1.0,0.0
ID1310,I3      ,Kitchen and/ or pantry,1.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1310,I4      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID1310,IOth1  ,Passage,1.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID1311,I1      ,Living room,0.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,0.0,,,No,1.0,,0.0,0.0
ID1311,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1311,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,0.0,,,No,1.0,,0.0,0.0
ID1311,I4      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Concrete,0.0,2.0,Glass,Yes,No,1.0,,1.0,0.0
ID1311,I5      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1311,I6      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Concrete,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1311,I7      ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID1311,I8      ,Veranda,,,,,,,,,,,,,
ID1311,I9      ,Veranda,,,,,,,,,,,,,
ID1311,I10     ,Veranda,,,,,,,,,,,,,
ID1312,I1      ,Living room,0.0,Asbestos,A conventional ceiling,Tile,1.0,2.0,Glass,Yes,Yes,2.0,,2.0,0.0
ID1312,I2      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,1.0,1.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1312,I3      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Tile,1.0,1.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID1312,I4      ,Bedrooms,0.0,Asbestos,A conventional ceiling,Cement,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1312,I5      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID1312,I6      ,Kitchen and/ or pantry,0.0,Asbestos,A conventional ceiling,Tile,1.0,2.0,Glass,No,No,1.0,,0.0,0.0
ID1312,I7      ,Kitchen and/ or pantry,0.0,Asbestos,A conventional ceiling,Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID1312,I8      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID1312,I9      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,0.0,,,No,1.0,,0.0,0.0
ID1312,I10     ,Gaming room,0.0,Asbestos,A conventional ceiling,Tile,0.0,0.0,,,No,6.0,,0.0,0.0
ID1312,I11     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,2.0,,0.0,0.0
ID1312,I12     ,Veranda,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID1312,IOth1  ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID1313,I1      ,Living room,0.0,Asbestos,A hanging ceiling,Tile,1.0,2.0,Glass,Yes,No,1.0,,1.0,0.0
ID1313,I2      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Cement,0.0,2.0,Glass,No,No,1.0,,0.0,0.0
ID1313,I3      ,Kitchen and/ or pantry,0.0,Asbestos,A hanging ceiling,Cement,0.0,2.0,Glass,No,No,1.0,,0.0,0.0
ID1313,I4      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID1314,I1      ,Living room,0.0,Asbestos,A conventional ceiling,Tile,1.0,6.0,Glass,Yes,Yes,6.0,,1.0,0.0
ID1314,I2      ,Bedrooms,1.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,1.0,Glass,Yes,No,1.0,,0.0,0.0
ID1314,I3      ,Kitchen and/ or pantry,0.0,Asbestos,A conventional ceiling,Tile,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID1314,I4      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Tile,1.0,2.0,Glass,Yes,Yes,2.0,,0.0,0.0
ID1315,I1      ,Living room,1.0,Concrete,"No ceiling, just the roof above",Cement,0.0,1.0,Wood,Yes,Yes,2.0,,1.0,0.0
ID1315,I2      ,Bedrooms,1.0,Concrete,"No ceiling, just the roof above",Cement,0.0,2.0,Wood,Yes,Yes,2.0,,1.0,0.0
ID1315,I3      ,Bedrooms,1.0,Concrete,"No ceiling, just the roof above",Cement,0.0,1.0,Glass,Yes,No,2.0,,1.0,0.0
ID1315,I4      ,Kitchen and/ or pantry,1.0,Concrete,"No ceiling, just the roof above",Tile,0.0,2.0,Wood,No,Yes,1.0,,1.0,0.0
ID1315,I5      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, just the roof above",Tile,0.0,1.0,Wood,No,Yes,1.0,,0.0,0.0
ID1315,I6      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, just the roof above",Cement,0.0,0.0,,,Garden - Not relevant,2.0,,0.0,0.0
ID1315,I7      ,Gaming room,1.0,Concrete,"No ceiling, just the roof above",Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID1316,I1      ,Living room,0.0,Asbestos,A hanging ceiling,Tile,0.0,2.0,Wood,Yes,Yes,4.0,,1.0,0.0
ID1316,I2      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Tile,0.0,1.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID1316,I3      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Cement,0.0,1.0,Wood,Yes,Yes,1.0,,0.0,0.0
ID1316,I4      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Tile,0.0,1.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID1316,I5      ,Kitchen and/ or pantry,0.0,Asbestos,A hanging ceiling,Tile,0.0,2.0,Wood,Yes,Yes,1.0,,0.0,0.0
ID1316,I6      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,1.0,Other,No,Yes,3.0,,0.0,0.0
ID1316,I7      ,Gaming room,0.0,Asbestos,A hanging ceiling,Cement,0.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID1316,I8      ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID1316,I9      ,Veranda,,,,,,,,,,,,,
ID1316,I10     ,Veranda,,,,,,,,,,,,,
